datahora,estado,municipio,bioma,latitude,longitude,mes,dia,hora,count
2011-12-03 16:48:00,PARA,ABAETETUBA,Amazonia,-1.8259999999999998,-48.793,12,3,16,12
2011-09-21 16:54:00,PARA,ABAETETUBA,Amazonia,-1.7409999999999999,-48.628,9,21,16,13
2011-11-24 16:54:00,PARA,ABAETETUBA,Amazonia,-1.7890000000000001,-48.905,11,24,16,12
2011-09-23 13:48:00,TOCANTINS,ABREULANDIA,Cerrado,-9.375,-49.387,9,23,13,18
2011-09-23 19:45:00,TOCANTINS,ABREULANDIA,Cerrado,-9.43,-49.42,9,23,19,15
2011-11-19 16:34:00,MARANHAO,ACAILANDIA,Amazonia,-4.985,-46.93600000000001,11,19,16,13
2011-12-03 16:48:00,PARA,ACARA,Amazonia,-1.926,-48.398,12,3,16,25
2011-12-05 16:35:00,PARA,ACARA,Amazonia,-2.129,-48.18899999999999,12,5,16,48
2011-12-07 16:23:00,PARA,ACARA,Amazonia,-1.847,-48.14,12,7,16,20
2011-11-08 16:54:00,PARA,ACARA,Amazonia,-1.5219999999999998,-48.29600000000001,11,8,16,17
2011-10-11 16:30:00,PARA,ACARA,Amazonia,-2.4,-48.57,10,11,16,14
2011-11-12 16:29:00,PARA,ACARA,Amazonia,-2.281,-48.717,11,12,16,21
2011-12-12 16:41:00,PARA,ACARA,Amazonia,-1.921,-48.26300000000001,12,12,16,20
2011-10-16 16:48:00,PARA,ACARA,Amazonia,-1.5430000000000001,-48.4,10,16,16,19
2011-11-17 16:47:00,PARA,ACARA,Amazonia,-2.419,-48.863,11,17,16,17
2011-10-18 16:35:00,PARA,ACARA,Amazonia,-2.013,-48.355,10,18,16,25
2011-09-21 16:54:00,PARA,ACARA,Amazonia,-1.724,-48.191,9,21,16,17
2011-09-23 16:41:00,PARA,ACARA,Amazonia,-2.029,-48.506,9,23,16,25
2011-11-24 16:54:00,PARA,ACARA,Amazonia,-1.505,-48.343,11,24,16,85
2011-07-28 16:48:00,PARA,ACARA,Amazonia,-1.817,-48.405,7,28,16,24
2011-11-28 16:29:00,PARA,ACARA,Amazonia,-1.73,-48.291,11,28,16,14
2011-07-30 16:35:00,PARA,ACARA,Amazonia,-1.7309999999999999,-48.222,7,30,16,11
2011-12-16 19:45:00,CEARA,ACOPIARA,Caatinga,-6.09,-39.14,12,16,19,30
2011-11-25 18:45:00,CEARA,ACOPIARA,Caatinga,-6.09,-39.87,11,25,18,11
2011-11-30 18:54:42,CEARA,ACOPIARA,Caatinga,-6.07,-39.60833,11,30,18,12
2011-10-11 18:06:00,ACRE,ACRELANDIA,Amazonia,-9.847999999999999,-66.76899999999999,10,11,18,14
2011-09-25 18:15:00,ACRE,ACRELANDIA,Amazonia,-10.01,-66.91,9,25,18,11
2011-09-19 14:45:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.99,-50.37,9,19,14,11
2011-09-19 17:45:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.95,-50.5,9,19,17,18
2011-09-22 19:58:25,PARA,AGUA AZUL DO NORTE,Amazonia,-7.02,-50.29833,9,22,19,28
2011-09-23 19:36:08,PARA,AGUA AZUL DO NORTE,Amazonia,-6.92333,-50.06833,9,23,19,14
2011-10-27 16:28:00,PIAUI,AGUA BRANCA,Caatinga,-5.877000000000001,-42.627,10,27,16,12
2011-08-19 17:57:36,MINAS GERAIS,AGUA COMPRIDA,Cerrado,-20.03833,-48.19333,8,19,17,11
2011-09-01 17:11:00,SANTA CATARINA,AGUA DOCE,Mata Atlantica,-26.59,-51.75100000000001,9,1,17,11
2011-09-09 16:25:00,GOIAS,AGUA FRIA DE GOIAS,Cerrado,-14.87,-48.053,9,9,16,14
