datahora,estado,municipio,bioma,latitude,longitude,mes,dia,hora,count
2018-10-05 16:48:00,PARA,ABAETETUBA,Amazonia,-1.7504099999999998,-48.79698,10,5,16,13
2018-08-13 16:42:00,PARA,ABAETETUBA,Amazonia,-1.6877900000000001,-48.75869,8,13,16,14
2018-09-17 16:45:00,PARA,ABAETETUBA,Amazonia,-1.663,-48.756,9,17,16,12
2018-11-17 16:42:00,PARA,ABAETETUBA,Amazonia,-1.73092,-48.79374,11,17,16,14
2018-07-22 16:54:00,PARA,ABAETETUBA,Amazonia,-1.70173,-48.72402,7,22,16,14
2018-08-23 16:54:00,PARA,ABAETETUBA,Amazonia,-1.65565,-48.72446,8,23,16,21
2018-08-25 16:18:00,PARA,ABAETETUBA,Amazonia,-1.6838099999999998,-48.95361,8,25,16,11
2018-10-25 17:12:00,PARA,ABAETETUBA,Amazonia,-1.7074200000000002,-48.69072,10,25,17,11
2018-12-28 17:12:00,PARA,ABAETETUBA,Amazonia,-1.67209,-48.75877,12,28,17,13
2018-09-14 16:42:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.84668,-48.49698,9,14,16,17
2018-10-13 05:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.35497,-49.27425,10,13,5,11
2018-09-14 16:42:00,TOCANTINS,ABREULANDIA,Cerrado,-9.21999,-49.38003,9,14,16,16
2018-09-21 21:49:28,TOCANTINS,ABREULANDIA,Cerrado,-9.38,-49.27,9,21,21,12
2018-10-26 16:54:00,TOCANTINS,ABREULANDIA,Cerrado,-9.72149,-49.18843,10,26,16,11
2018-06-27 16:24:00,TOCANTINS,ABREULANDIA,Cerrado,-9.647110000000001,-49.23605,6,27,16,13
2018-07-27 01:50:00,TOCANTINS,ABREULANDIA,Cerrado,-9.342,-49.36600000000001,7,27,1,12
2018-07-27 04:24:00,TOCANTINS,ABREULANDIA,Cerrado,-9.33976,-49.36586,7,27,4,11
