datahora,estado,municipio,bioma,latitude,longitude,mes,dia,hora,count
1999-09-14 21:00:00,MINAS GERAIS,ABAETE,Cerrado,-19.2367,-45.37,9,14,21,4
1999-10-12 21:00:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.85306,-48.5781,10,12,21,5
1999-10-16 21:00:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.99167,-48.5217,10,16,21,4
1999-09-19 21:00:00,PARA,ABEL FIGUEIREDO,Amazonia,-5.05,-48.485,9,19,21,7
1999-09-28 21:00:00,PARA,ABEL FIGUEIREDO,Amazonia,-5.08167,-48.4431,9,28,21,6
1999-09-05 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.56806,-49.2617,9,5,21,7
1999-09-09 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.73667,-48.8767,9,9,21,6
1999-08-27 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.425,-49.2717,8,27,21,9
1999-09-28 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.34667,-49.4281,9,28,21,4
1999-09-02 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.81806,-47.7617,9,2,21,5
1999-10-02 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.035,-47.41,10,2,21,9
1999-10-03 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.76167,-47.9981,10,3,21,10
1999-11-03 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.43806,-47.05,11,3,21,25
1999-09-04 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.64806,-47.82,9,4,21,4
1999-11-04 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.70306,-47.4631,11,4,21,18
1999-09-05 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.01667,-47.4567,9,5,21,8
1999-08-06 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.77806,-47.2281,8,6,21,6
1999-10-06 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.755,-47.33,10,6,21,4
1999-10-07 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.03306,-47.1781,10,7,21,12
1999-11-07 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.99,-46.9217,11,7,21,9
1999-10-08 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.11667,-47.2317,10,8,21,5
1999-11-08 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.96,-47.0067,11,8,21,12
1999-09-09 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.94806,-46.95,9,9,21,9
1999-10-11 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.805,-47.835,10,11,21,12
1999-10-12 01:49:14,MARANHAO,ACAILANDIA,Amazonia,-4.726,-47.343,10,12,1,6
1999-10-12 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.95306,-47.7331,10,12,21,9
1999-10-13 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.10806,-47.1481,10,13,21,4
1999-10-15 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.71,-47.8331,10,15,21,7
1999-10-16 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.46,-47.2131,10,16,21,35
1999-10-17 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.86306,-47.17,10,17,21,12
1999-09-19 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.89306,-47.1717,9,19,21,4
1999-10-20 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.76806,-47.3281,10,20,21,7
1999-10-21 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.85306,-47.2717,10,21,21,11
1999-11-21 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.71806,-47.6717,11,21,21,15
1999-08-22 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.52,-47.125,8,22,21,5
1999-11-22 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.43,-47.19,11,22,21,7
1999-08-23 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.03,-47.61,8,23,21,4
1999-09-23 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.80167,-47.745,9,23,21,7
1999-10-24 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.03167,-47.02,10,24,21,31
1999-10-25 01:40:50,MARANHAO,ACAILANDIA,Amazonia,-4.415,-47.21,10,25,1,10
1999-10-25 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.71806,-47.6817,10,25,21,12
1999-09-28 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.005,-47.3331,9,28,21,10
1999-10-29 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.58806,-47.0167,10,29,21,6
1999-01-20 21:00:00,BAHIA,ACAJUTIBA,Caatinga,-11.6931,-37.93,1,20,21,4
1999-11-08 21:00:00,PARA,ACARA,Amazonia,-2.145,-48.4031,11,8,21,5
1999-11-10 01:38:39,PARA,ACARA,Amazonia,-2.288,-48.666000000000004,11,10,1,24
1999-08-11 21:00:00,PARA,ACARA,Amazonia,-2.22167,-48.65,8,11,21,12
1999-11-12 21:00:00,PARA,ACARA,Amazonia,-2.31167,-48.5881,11,12,21,9
1999-11-13 21:00:00,PARA,ACARA,Amazonia,-2.35,-48.7081,11,13,21,16
1999-10-16 21:00:00,PARA,ACARA,Amazonia,-2.37306,-48.7367,10,16,21,6
1999-11-16 21:00:00,PARA,ACARA,Amazonia,-2.18,-48.6031,11,16,21,4
1999-10-29 21:00:00,PARA,ACARA,Amazonia,-2.41167,-48.645,10,29,21,6
1999-11-12 21:00:00,PIAUI,ACAUA,Caatinga,-8.20667,-41.0531,11,12,21,4
1999-10-16 21:00:00,PIAUI,ACAUA,Caatinga,-8.34806,-41.14,10,16,21,4
1999-10-21 21:00:00,PIAUI,ACAUA,Caatinga,-8.23667,-40.9781,10,21,21,4
1999-12-01 21:00:00,CEARA,ACOPIARA,Caatinga,-6.075,-39.1467,12,1,21,16
1999-12-02 21:00:00,CEARA,ACOPIARA,Caatinga,-6.00806,-39.6,12,2,21,8
1999-11-05 21:00:00,CEARA,ACOPIARA,Caatinga,-6.08,-39.6731,11,5,21,9
1999-10-08 21:00:00,CEARA,ACOPIARA,Caatinga,-6.00167,-39.66,10,8,21,6
1999-12-10 21:00:00,CEARA,ACOPIARA,Caatinga,-6.155,-39.6417,12,10,21,9
1999-11-17 21:00:00,CEARA,ACOPIARA,Caatinga,-6.05667,-39.7617,11,17,21,9
1999-11-23 21:00:00,CEARA,ACOPIARA,Caatinga,-6.11806,-39.595,11,23,21,6
1999-08-21 02:20:57,MATO GROSSO,ACORIZAL,Cerrado,-15.087,-56.327,8,21,2,4
1999-08-30 21:00:00,MATO GROSSO,ACORIZAL,Cerrado,-15.1181,-56.3967,8,30,21,7
1999-09-06 21:00:00,ACRE,ACRELANDIA,Amazonia,-9.96806,-67.0167,9,6,21,6
1999-09-07 21:00:00,ACRE,ACRELANDIA,Amazonia,-9.94167,-66.9017,9,7,21,4
1999-09-11 21:00:00,ACRE,ACRELANDIA,Amazonia,-10.025,-67.0767,9,11,21,5
1999-09-14 03:08:16,ACRE,ACRELANDIA,Amazonia,-9.838,-67.054,9,14,3,4
1999-08-25 21:00:00,ACRE,ACRELANDIA,Amazonia,-9.95167,-66.9267,8,25,21,8
1999-11-23 21:00:00,RIO GRANDE DO NORTE,ACU,Caatinga,-5.305,-37.0717,11,23,21,4
1999-09-30 21:00:00,RIO GRANDE DO NORTE,ACU,Caatinga,-5.39806,-37.0017,9,30,21,6
1999-09-01 21:00:00,MINAS GERAIS,ACUCENA,Mata Atlantica,-19.0467,-42.295,9,1,21,4
1999-09-02 21:00:00,MINAS GERAIS,ACUCENA,Mata Atlantica,-19.065,-42.38,9,2,21,10
1999-09-03 21:00:00,MINAS GERAIS,ACUCENA,Mata Atlantica,-18.9831,-42.435,9,3,21,4
1999-09-04 01:39:24,MINAS GERAIS,ACUCENA,Mata Atlantica,-19.055,-42.556000000000004,9,4,1,4
1999-09-24 21:00:00,MINAS GERAIS,ACUCENA,Mata Atlantica,-19.125,-42.5467,9,24,21,7
1999-09-29 21:00:00,MINAS GERAIS,ACUCENA,Mata Atlantica,-19.0581,-42.525,9,29,21,10
1999-11-16 21:00:00,SAO PAULO,ADAMANTINA,Mata Atlantica,-21.435,-51.0267,11,16,21,5
1999-12-17 21:00:00,PARANA,ADRIANOPOLIS,Mata Atlantica,-24.8117,-48.8267,12,17,21,4
1999-11-29 21:00:00,PARANA,ADRIANOPOLIS,Mata Atlantica,-24.7881,-48.925,11,29,21,4
1999-09-01 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.87806,-50.17,9,1,21,21
1999-10-01 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.87,-49.9567,10,1,21,6
1999-09-02 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-7.01,-50.435,9,2,21,20
1999-10-02 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.73306,-50.1967,10,2,21,5
1999-08-03 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.68806,-50.86,8,3,21,4
1999-08-04 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.76306,-50.6917,8,4,21,14
1999-09-04 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.58167,-49.9817,9,4,21,18
1999-08-05 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.91167,-50.6917,8,5,21,5
1999-09-05 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.88306,-50.3931,9,5,21,18
1999-09-07 01:48:51,PARA,AGUA AZUL DO NORTE,Amazonia,-6.642,-50.248999999999995,9,7,1,5
1999-10-07 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.765,-49.85,10,7,21,5
1999-08-08 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.825,-50.775,8,8,21,5
1999-09-08 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.54,-50.5181,9,8,21,16
1999-08-10 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.87667,-50.6417,8,10,21,18
1999-08-12 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.98167,-50.415,8,12,21,5
1999-08-14 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.91667,-50.6117,8,14,21,5
1999-09-14 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.74806,-49.7867,9,14,21,6
1999-08-15 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.70667,-50.285,8,15,21,13
1999-08-17 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.63806,-50.265,8,17,21,11
1999-08-18 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.60667,-50.025,8,18,21,16
1999-08-19 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-7.19306,-50.48,8,19,21,5
1999-08-21 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.71806,-50.1131,8,21,21,7
